userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,sentiment
Fx Dwiwarsono Dwi Warsono,menyusahkan sereng lemotgak whatsapp,1,0,,2024-09-25 10:17:08,,Negatif
Manda Aulina,meng aupdet,5,0,2.24.18.80,2024-09-25 10:15:59,,Positif
Rendiman Topel,ok,5,0,,2024-09-25 10:15:56,,Positif
Dancok Asu,ok,5,0,2.24.18.80,2024-09-25 10:15:32,,Positif
valentya cinta ariska agatha,bagussss chat pacarrrrrrr,5,0,,2024-09-25 10:14:50,,Positif
Mahlil Montz,gue ganti nomor blokir,1,0,2.24.18.80,2024-09-25 10:14:37,,Negatif
Yuki Alfian,membantu berkomunikasi aplikasi bisnis,5,0,,2024-09-25 10:14:18,,Positif
Danton Isan,whatsap susah menginsal nya,2,0,,2024-09-25 10:13:45,,Negatif
Aaji Permana tambunan,mantap,5,0,,2024-09-25 10:13:11,,Positif
Rusyanto yanto,membantu,5,0,2.24.18.80,2024-09-25 10:13:08,,Positif
Jefry Umbu Retang,ok,5,0,2.24.18.80,2024-09-25 10:12:33,,Positif
pakih eloy,oke,5,0,2.24.18.80,2024-09-25 10:11:41,,Positif
w w,apk kontl gk angin gak hujan akun kena pelanggaran spam,1,0,2.24.18.80,2024-09-25 10:11:16,,Negatif
Leo Nardi,mantab,5,0,2.24.18.80,2024-09-25 10:10:57,,Positif
Jangan Tanya,story nya jd ngebluremang gk diperbaiki ya,3,0,2.24.18.80,2024-09-25 10:10:28,,Netral
Azwar Sosal,bagussaya suka bangat,5,0,2.24.18.80,2024-09-25 10:09:14,,Positif
Nobertus Pabontong,aneh dgn aplikasi whatsap,3,0,2.24.18.80,2024-09-25 10:09:11,,Netral
Mas-a Games,watsap mohon benahi masak udh blok nomor orang kemaren aktifitas nya memblokir gara gara berantem pacar,1,0,2.24.18.80,2024-09-25 10:07:57,,Negatif
intan aura,sanggatt bagusss,5,0,2.24.18.80,2024-09-25 10:07:56,,Positif
NOVIAN PRATAMA,tambahin bahasa lampung,1,0,2.24.18.80,2024-09-25 10:07:27,,Negatif
Rube Be,ok,5,0,,2024-09-25 10:07:05,,Positif
KUA center Sempu,inpo pemulihan tp masuk tdk diarahkan wa yg ori sdh donlod yg ori sesuai petunjuk ttp tdk menerima kode verifikasi,1,0,2.24.18.80,2024-09-25 10:06:42,,Negatif
Andini Putri,wa ku blm fitur like story yaa udh update kali loh gimna sih kesel bgtt,4,0,2.24.18.80,2024-09-25 10:04:47,,Positif
Nani Maryani,kasih,2,0,,2024-09-25 10:02:32,,Negatif
Ilham Irawan,iham lrawan,5,0,,2024-09-25 10:02:03,,Positif
